date,home,hscore,road,rscore,line,lineavg,linesag,linesage,linesagp,lineopen,linemoore,linepower,linesaggm,lineray1,linefox,linedok,linetalis,linemassey,linepugh,linedonc,linemds,linedoi,linelogic
2/13/16,A. Davis,,D. Green,,,,,,,,,,,,,,,,,,,,
2/13/16,A. Drummond,,W. Barton,,,,,,,,,,,,,,,,,,,,
2/13/16,A. Gordon,,Z. Lavine,,,,,,,,,,,,,,,,,,,,
10/27/15,Atlanta,94,Detroit,106,6.5,6.9,7.42,7.42,7.42,8,5.66,,7.42,,2,5.71,4.27,,8.31,5.9,,14.36,
10/30/15,Atlanta,97,Charlotte,94,4.5,9.08,7.97,8.09,7.83,6,8.01,11.7,8.41,,11,6.38,7.21,,9.39,6.2,12.86,13.04,
11/4/15,Atlanta,101,Brooklyn,87,7.5,10.96,12.11,12.53,11.74,10,6.62,11.5,13.27,,11,11.93,9.93,,17.16,4.7,11.5,8.55,
11/7/15,Atlanta,114,Washington,99,4.5,4.71,4.7,4.98,4.48,3.5,2.98,5.8,5.37,,4,4.6,5.82,,7.81,1.7,,4.32,
11/9/15,Atlanta,107,Minnesota,117,8.5,8.89,8.98,9.55,8.47,9,6.65,10.1,8.89,,13,7.88,12.21,,7.7,9.8,,3.4,
11/11/15,Atlanta,106,New Orleans,98,12,6.43,5.25,5.47,5.15,9,4.5,5.8,6.67,,5,6.7,5.67,,14.41,6.1,4.76,8.09,
11/15/15,Atlanta,96,Utah,97,4.5,2.08,2.51,3.81,2.17,-5.5,-2.98,5.4,4.08,2.5,-2,2.43,1.78,,2.13,2.1,,3.54,
11/18/15,Atlanta,103,Sacramento,97,3.5,6.65,6.25,5.34,6.41,4.5,1.14,9.8,6.74,7,4,6.91,7.8,,11.4,8.5,,5.52,
11/24/15,Atlanta,121,Boston,97,2.5,0.64,0.66,1.78,0.31,4,-3.62,3.9,2.33,-0.75,-3,1.47,1.52,,-1.94,1,,3.28,
11/30/15,Atlanta,106,Oklahoma City,100,-3,-0.73,-0.95,-0.24,-1.14,-1,-3.12,1.1,-0.22,4.75,-1,-3.11,-0.46,,0,0.6,-0.6,-0.29,
12/2/15,Atlanta,86,Toronto,96,3,1.59,1.48,3.05,1.12,3,-1,3.4,1.85,3.25,4,0.42,3.22,,1.38,0.5,,-0.29,
12/4/15,Atlanta,100,LA Lakers,87,11.5,11.6,11.25,11.23,11.23,11.5,9.46,10.3,11.69,8.75,13,12.34,11.86,,14.15,11.1,,11.62,
12/12/15,Atlanta,78,San Antonio,103,-2.5,-4.07,-3.57,-2.92,-4.68,-3,-5.85,-2.8,-3.41,-3,-8,-4,-5.27,,-4.11,-3.5,-1.39,-3.43,
12/14/15,Atlanta,88,Miami,100,6,3.04,2.57,2.99,2.16,4,-0.26,5,2.54,4.5,7,2.44,3.58,,2.72,3.2,2.56,2.96,
12/16/15,Atlanta,127,Philadelphia,106,13.5,13.15,13.97,13.77,13.44,13.5,10.31,13.8,15.01,12.5,14,13.64,12.17,,15.65,11.5,9.19,14.44,
12/21/15,Atlanta,106,Portland,97,10.5,5.38,6.34,6.63,5.54,7,3.12,6.2,6.88,5.5,5,4.93,2.65,,5.86,5.5,,5.85,
12/23/15,Atlanta,107,Detroit,100,6,3.02,3.34,2.73,3.34,5.5,0.85,5.1,3.94,6,3,2.71,2.1,,3.63,3.1,1.09,4.31,
12/26/15,Atlanta,117,New York,98,7.5,7.18,7.23,8.06,6.36,6.5,3.88,8.3,7.31,8.5,8,5.67,9.57,,7.3,6.8,,7.71,
1/5/16,Atlanta,101,New York,107,8,7.24,6.42,5.73,6.51,8.5,4.17,8.4,7.07,8,8,7.27,8.28,,8.35,8.2,,8.48,
1/9/16,Atlanta,120,Chicago,105,2.5,1.49,0.99,-0.28,1.64,2.5,-0.05,3.3,1.53,5.25,3,2.3,1.29,,2.33,3.3,-1,1.06,
1/16/16,Atlanta,114,Brooklyn,86,11,9.8,10.21,7.65,9.73,12,6.99,11.1,10.31,7,11,12.77,7.82,,10.77,10,5.78,13.29,
1/18/16,Atlanta,98,Orlando,81,8,5.71,5.09,5.41,5.11,8,2.7,8.1,5.08,5.5,8,5,4.69,,5.82,5.6,4.35,9.27,
1/27/16,Atlanta,83,LA Clippers,85,5,0.57,0.19,-1.51,0.72,3,-0.52,2.1,0.54,3.5,1,1.39,0.27,1.28,1.5,1.2,-2,1.4,1
2/1/16,Atlanta,112,Dallas,97,6,3.79,3.13,0.46,4.08,7,2.51,4.9,3.54,6.75,4,5.25,4.81,3.49,5.39,4.7,2.07,4.57,4
2/5/16,Atlanta,102,Indiana,96,5,1.6,2.4,3.18,2,4,0.48,4.6,2.56,5.25,3,2.89,0.28,2.35,2.63,3.1,-9.7,2.25,2
2/8/16,Atlanta,110,Orlando,117,8.5,6.73,6.59,7.56,6.44,9.5,4.86,9.7,6.27,9,9,7.3,5.01,6.75,7.54,6.3,4.53,7.05,6
2/19/16,Atlanta,111,Miami,115,8.5,4.75,3.96,2.8,4.52,9.5,3.9,6.6,3.76,4.25,8,4.13,3.64,4.97,5.91,5.3,,5.05,4
2/20/16,Atlanta,109,Milwaukee,117,8.5,7.7,6.74,4.15,7.84,9,7.41,7.5,6.77,5.25,8,10.45,8.29,7.51,9.92,7.7,,7.57,8
2/22/16,Atlanta,92,Golden State,102,-6,-6.15,-6.29,-7.76,-5.74,-7,-8.13,-4.4,-6.3,0.25,-5,-7.34,-5.76,-7.09,-4.88,-6.2,,-4.17,-7
2/26/16,Atlanta,103,Chicago,88,7.5,4.39,3.42,1.84,4.12,6,3.62,5.2,3.31,8.25,8,5.91,4.57,3.8,5.54,3.9,,4.28,4
2/28/16,Atlanta,87,Charlotte,76,4.5,3.18,2.71,-0.27,3.63,3.5,2.05,4.1,3.56,5.75,4,4.61,1.25,3.13,4.14,4.3,,4.3,3
3/12/16,Atlanta,95,Memphis,83,13.5,5.79,4.92,4.14,5.56,12.5,4.65,7.1,3.86,7.25,10,11.76,4.51,4.2,,4.8,,5.73,4
3/13/16,Atlanta,104,Indiana,75,5,3.86,3.38,3.81,3.28,5,3,5.4,3.2,4.25,6,3.66,,3.31,,6,,3.32,2
3/17/16,Atlanta,116,Denver,98,7.5,7.95,8.22,9.1,8.04,8.5,6.67,9.6,7.98,6.5,11,7.39,6.35,7.28,8.7,6.5,,8.51,6
3/19/16,Atlanta,109,Houston,97,7,5.95,5.29,5.5,5.49,6.5,6.32,6.8,4.64,5.75,9,6.74,5.4,6.02,7.68,3.7,,5.7,5
3/21/16,Atlanta,102,Washington,117,6.5,7.11,6.24,6.36,6.55,7,7.06,8.4,5.59,5,11,7.12,6.42,6.98,8.37,6.9,,6.55,6
3/25/16,Atlanta,101,Milwaukee,90,9,9.4,8.65,9.85,8.65,9,8.79,10.9,7.57,5.25,13,9.34,9.16,8.45,10.19,8.3,,9.79,9
4/1/16,Atlanta,108,Cleveland,110,2.5,1.61,1.6,4.93,0.69,1,0.72,4.6,0.05,1,5,1.64,1.87,0.93,1.81,0.7,,-0.98,-1
4/5/16,Atlanta,103,Phoenix,90,14,13.68,12.62,14.49,12.33,15,11.41,16.6,11.5,11.25,19,16.7,12.06,13.66,14.11,13.8,,11.21,12
4/7/16,Atlanta,95,Toronto,87,7.5,2.74,2.16,2.69,2.2,5,2.01,5.1,1.44,2.5,4,4.12,1.84,1.79,3.05,3.2,,4.71,0
4/9/16,Atlanta,118,Boston,107,5.5,4.32,3.5,4.96,3.22,5.5,3.43,6,2.97,4.25,9,6.88,3.03,3.54,4.21,,,3.4,2
